,title,movieId
79,La mala educación,96
80,羅生門,97
81,攻壳机动队,98
82,Todo sobre mi madre,99
83,Mit Liv som Hund,100
84,La planète sauvage,101
85,Before Sunset,102
86,Thelma & Louise,104
87,重庆森林,105
88,Fight Club,106
89,La leggenda del pianista sull'oceano,107
90,Trois couleurs: Rouge,108
91,Trois couleurs: Bleu,109
92,Trois couleurs: Blanc,110
93,The Rocky Horror Picture Show,111
94,The Shawshank Redemption,112
95,Good Bye Lenin!,113
96,Le papillon,114
97,Miller's Crossing,115
98,American Beauty,117
99,La vita è bella,118
100,The Truman Show,119
101,Scarface,120
102,Fargo,121
103,Underground,122
104,Die Blechtrommel,123
105,Cidade de Deus,124
106,Hable con ella,126
107,City of Angels,127
108,西游记大结局之仙履奇缘,128
109,The Usual Suspects,129
110,Le fabuleux destin d'Amélie Poulain,130
111,Amores perros,131
112,Mulholland Dr.,132
113,Central do Brasil,133
114,リリイ·シュシュのすべて,134
115,Love Letter,135
116,Taxi Driver,136
117,Se7en,137
118,One Flew Over the Cuckoo's Nest,138
119,The Shining,139
120,2001: A Space Odyssey,140
121,U Turn,141
122,Natural Born Killers,142
123,JFK,143
124,A Clockwork Orange,144
125,Un long dimanche de fiançailles,145
126,Gandhi,146
127,Apocalypse Now,147
128,Once Upon a Time in America,148
129,"O Brother, Where Art Thou?",149
130,The Hitchhiker's Guide to the Galaxy,150
131,Goodfellas,151
132,The Sting,152
133,Requiem for a Dream,153
134,The Graduate,154
135,Elephant,155
136,The Terminal,156
137,Lola rennt,157
138,Stealing Beauty,159
139,Babettes gæstebud,160
140,Being John Malkovich,161
141,25th Hour,162
142,Le peuple migrateur,163
143,Microcosmos: Le peuple de l'herbe,165
144,我的野蛮女友,166
145,新龍門客棧,167
146,Citizen Kane,168
147,心动,169
148,Banlieue 13,171
149,Chung Kuo - Cina,172
150,东邪西毒,173
151,牯岭街少年杀人事件,174
152,戀戀風塵,175
153,蝴蝶,176
154,Dark City,177
155,Jackie Brown,179
156,誰も知らない,180
157,Jules et Jim,181
158,阿修羅のごとく,183
159,"Sex, Lies, and Videotape",184
160,Woodstock,185
161,The Butterfly Effect,186
162,Ocean's Twelve,187
163,"The Adventures of Priscilla, Queen of the Desert",188
164,The Animatrix,189
165,L.A. Confidential,190
166,Lawrence of Arabia,191
167,Almost Famous,192
168,活着,193
169,Edward Scissorhands,194
170,四月物語,195
171,香港制造,196
172,ポストマン・ブルース,197
173,Love Actually,198
174,Malèna,199
175,The Deer Hunter,200
176,一一,201
177,A Fish Called Wanda,202
178,バトル・ロワイアル,203
179,Sans toit ni loi,204
180,Bound,205
181,暗花,206
182,Mad Max 2: The Road Warrior,209
183,Twister,210
184,The Grapes of Wrath,217
185,Breaking the Waves,220
186,Barry Lyndon,222
187,The Crow,223
188,Mission: Impossible,230
189,The Evil Dead,239
190,Der Himmel über Berlin,242
191,赌神2,244
192,用心棒,249
193,The Treasure of the Sierra Madre,250
194,On the Waterfront,254
195,Jurassic Park,255
196,Trainspotting,256
197,Bicentennial Man,257
198,Wall Street,259
199,The Untouchables,260
200,Pierrot le fou,261
201,Crimes and Misdemeanors,263
202,The Full Monty,267
203,Das Cabinet des Dr. Caligari.,270
204,Cleopatra,271
205,True Lies,273
206,Red River,280
207,Some Like It Hot,287
208,The Lady from Shanghai,296
209,The Basketball Diaries,297
210,Au revoir les enfants,298
211,Judgment at Nuremberg,301
212,What Ever Happened to Baby Jane?,307
213,The Wizard of Oz,325
214,冲锋队怒火街头,329
215,Dogma,333
216,Fly Away Home,335
217,Carlito's Way,338
218,Dirty Rotten Scoundrels,340
219,Good Will Hunting,342
220,Mary Poppins,343
221,Face/Off,344
222,The Insider,345
223,Carrie,347
224,The Searchers,350
225,春光乍泄,360
226,Crash,363
227,Die Hard,369
228,Murder on the Orient Express,371
229,黃飛鴻之三獅王爭霸,376
230,A River Runs Through It,380
231,La strada,381
232,Forrest Gump,382
233,Titanic,384
234,The Rock,386
235,Nanook of the North,391
236,"Good Morning, Vietnam",394
237,Pinocchio,408
238,The Lady Vanishes,411
239,Hannah and Her Sisters,414
240,Babe,415
241,MASH,416
242,Opening Night,418
243,Armageddon,419
244,The King of Comedy,421
245,The General,425
246,Somewhere in Time,427
247,The Thin Red Line,428
248,Fanny och Alexander,431
249,Airplane!,432
250,愛のコリーダ,435
251,My Own Private Idaho,437
252,Harold and Maude,448
253,Ace Ventura: Pet Detective,459
254,Obchod na korze,460
255,省港旗兵 1,470
256,Saving Private Ryan,472
257,Misery,473
258,快餐車,489
259,Moonstruck,491
260,Born on the Fourth of July,495
261,Life of Brian,500
262,A Night to Remember,504
263,Radio Days,508
264,精武英雄,509
265,Shoulder Arms,510
266,摇啊摇，摇到外婆桥,513
267,Festen,519
268,Stand by Me,532
269,Remember the Titans,544
270,新不了情,549
271,黑金,555
272,Boogie Nights,558
273,Paths of Glory,562
274,Chicken Run,564
275,Scener ur ett äktenskap,568
276,Bananas,573
277,The Purple Rose of Cairo,576
278,Stanno tutti bene,577
279,The Remains of the Day,580
280,Independence Day,586
281,The Beach,591
282,Straw Dogs,596
283,Manhattan Murder Mystery,598
284,Nashville,602
285,Dirty Harry,608
286,Dolores Claiborne,609
287,Erin Brockovich,611
288,Smultronstället,621
289,The Fly,623
290,Sophie's Choice,626
291,Home Alone,634
292,This Is Spinal Tap,641
293,小倩,643
294,L'eclisse,649
295,野良犬,650
296,Enter the Dragon,658
297,The Little Mermaid,660
298,Dracula,662
299,新上海滩,674
300,Philadelphia,676
301,Il gattopardo,677
302,辣手神探,678
303,Ben-Hur,680
304,Raging Bull,683
305,Jungfrukällan,684
306,Speed,692
307,The Cell,695
308,The Last Emperor,696
309,The World Is Not Enough,698
310,The Meaning of Life,699
311,Anatomy of a Murder,701
312,Psycho,705
313,12 Angry Men,706
314,The Spy Who Came in from the Cold,710
315,Arizona Dream,711
316,Hellraiser,714
317,Chelovek s kinoapparatom,715
318,The Elephant Man,716
319,真心英雄,717
320,Ghost,718
321,Driving Miss Daisy,719
322,Les diaboliques,726
323,Double Indemnity,736
324,Days of Heaven,742
325,Det sjunde inseglet,744
326,"Crna macka, beli macor",746
327,变脸,747
328,The Fox and the Hound,749
329,Being There,757
330,The Kid,769
331,La dolce vita,770
332,Raising Arizona,773
333,Indochine,778
334,Dead Ringers,784
335,La nuit américaine,785
336,Edipo re,787
337,Alice in den Städten,790
338,椿三十郎,793
339,阿郎的故事,797
340,Star Trek II: The Wrath of Khan,798
341,火垂るの墓,800
342,An Affair to Remember,802
343,Europa '51,803
344,How Green Was My Valley,804
345,大红灯笼高高挂,805
346,Star Trek IV: The Voyage Home,807
347,残菊物语,810
348,Terms of Endearment,817
349,"Lock, Stock and Two Smoking Barrels",822
350,食神,823
351,Home Alone 2: Lost in New York,825
352,菊次郎の夏,829
353,Murder in the First,838
354,Dog Day Afternoon,839
355,Fanfan,841
356,M,844
357,Conte d'hiver,850
358,孩子王,853
359,C'era una volta il West,855
360,Platoon,857
361,Amadeus,860
362,阮玲玉,869
363,监狱风云,875
364,"Grido, Il",879
365,The Negotiator,881
366,Gloria,885
367,Evil Dead II,893
368,Mia aioniotita kai mia mera,900
369,Maurice,901
370,Singin' in the Rain,905
371,Camille Claudel,908
372,Indiana Jones and the Last Crusade,911
373,黃飛鴻之二男兒當自強,913
374,TRON,919
375,Броненосец Потёмкин,928
376,Avanti!,941
377,Fail-Safe,946
378,Deep Rising,947
379,A Woman Under the Influence,954
380,American History X,956
381,Gladiator,959
382,The Fifth Element,960
383,Air Force One,964
384,The Silence of the Lambs,968
385,You've Got Mail,974
386,Magnolia,980
387,Unforgiven,982
388,2010,987
389,The Night of the Hunter,992
390,A Streetcar Named Desire,998
391,Leaving Las Vegas,1002
392,3 Women,1005
393,The French Lieutenant's Woman,1009
394,Heaven Can Wait,1013
395,Zabriskie Point,1021
396,The Longest Day,1024
397,Conte de printemps,1028
398,Beetle Juice,1029
399,M. Butterfly,1031
400,Galaxy Quest,1040
401,天国と地獄,1043
402,Ed Wood,1054
403,Salò o le 120 giornate di Sodoma,1060
404,The Ten Commandments,1061
405,Sid and Nancy,1062
406,Random Harvest,1063
407,Cool Hand Luke,1065
408,The Lost World: Jurassic Park,1066
409,Hilary and Jackie,1070
410,All the President's Men,1074
411,The Addams Family,1075
412,Saturday Night Fever,1082
413,Donnie Brasco,1085
414,お葬式,1093
415,Sweet and Lowdown,1094
416,It's a Wonderful Life,1095
417,October Sky,1099
418,The Exorcist,1100
419,Dances with Wolves,1106
420,白发魔女传,1107
421,On Golden Pond,1109
422,U-571,1110
423,L'ami de mon amie,1113
424,La passion de Jeanne d'Arc,1119
425,Apollo 13,1120
426,Aliens,1124
427,Top Gun,1130
428,Querelle,1133
429,The Perfect Storm,1138
430,Shadow of a Doubt,1140
431,The Piano,1141
432,Papillon,1143
433,Brazil,1145
434,Rebecca,1146
435,Pretty Woman,1147
436,The Hunt for Red October,1151
437,Wallace & Gromit in The Wrong Trousers,1153
438,Star Wars,1155
439,Roman Holiday,1156
440,Ace in the Hole,1158
441,Zelig,1161
442,生きる,1162
443,Une femme est une femme,1163
444,Rosemary's Baby,1166
445,Sleeper,1167
446,Fried Green Tomatoes,1174
447,The Iron Giant,1175
448,和平饭店,1179
449,Sabrina,1180
450,L'histoire d'Adèle H.,1181
451,Lisbon Story,1186
452,Chinatown,1195
453,City Lights,1206
454,"Boot, Das",1207
455,As Good as It Gets,1212
456,Eraserhead,1217
457,A Room with a View,1218
458,The Bridges of Madison County,1220
459,The Patriot,1224
460,The Killing,1226
461,奇迹,1229
462,Love and Death,1232
463,McCabe & Mrs. Miller,1236
464,Do the Right Thing,1241
465,L'amour l'après-midi,1246
466,Waterloo Bridge,1247
467,Spellbound,1250
468,Patch Adams,1254
469,Wag the Dog,1255
470,A Little Princess,1258
471,My Left Foot,1262
472,我的父亲母亲,1266
473,タンポポ,1267
474,無法松の一生,1274
475,Waterworld,1278
476,流星语,1279
477,Le rayon vert,1280
478,Monsieur Verdoux,1283
479,Caravaggio,1284
480,Laura,1293
481,Angst essen Seele auf,1301
482,The Best Years of Our Lives,1307
483,Velvet Goldmine,1324
484,Knockin' on Heaven's Door,1325
485,似水流年,1326
486,Conte d'automne,1327
487,East of Eden,1342
488,Brother,1348
489,Frequency,1350
490,悲情城市,1355
491,The Godfather: Part III,1379
492,Τοπίο στην ομίχλη,1385
493,Taxi,1390
494,Manhattan,1406
495,Amator,1407
496,¡Átame!,1412
497,First Blood,1414
498,Star Wars: Episode I - The Phantom Menace,1435
499,Brief Encounter,1437
500,Short Circuit,1439
501,Modern Times,1442
502,Cat on a Hot Tin Roof,1444
503,心中天網島,1446
504,The Seven Year Itch,1447
505,Heaven,1452
506,The Sound of Music,1463
507,ワンダフルライフ,1465
508,笑傲江湖Ⅱ东方不败,1467
509,The Front Page,1468
510,Иваново детство,1470
511,秋刀魚の味,1474
512,Cyclo,1475
513,Persona,1478
514,Cinderella,1491
515,Secrets & Lies,1498
516,少年黄飞鸿之铁马骝,1505
517,The Gods Must Be Crazy II,1507
518,The Color Purple,1516
519,Zéro de conduite: Jeunes diables au collège,1523
520,Offret,1527
521,Voyage To Cythera,1529
522,你那边几点？,1532
523,太极张三丰,1543
524,Tora! Tora! Tora!,1544
525,Cléo de 5 à 7,1546
526,Krótki film o milosci,1547
527,Το βλέμμα του Οδυσσέα,1550
528,それから,1553
529,Bonnie and Clyde,1555
530,御法度,1559
531,Sling Blade,1560
532,Le violon rouge,1563
533,Stalag 17,1565
534,Der Name der Rose,1581
535,E.T. the Extra-Terrestrial,1584
536,Braveheart,1585
537,荆轲刺秦王,1610
538,Midnight Run,1614
539,Dazed and Confused,1624
540,The Player,1627
541,Narayama bushiko,1632
542,Trouble in Paradise,1637
543,Rudy,1641
544,Touch of Evil,1643
545,Tarzan,1649
546,Le notti di Cabiria,1658
547,The Ninth Gate,1663
548,RoboCop,1664
549,La grande illusion,1673
550,The Innocents,1684
551,蜘蛛巢城,1685
552,Mulan,1689
553,酔いどれ天使,1703
554,Camille,1730
555,Le genou de Claire,1733
556,Monty Python and the Holy Grail,1734
557,Ordinary People,1736
558,星願,1737
559,Batman Returns,1739
560,復讐するは我にあり,1742
561,Jaws,1743
562,The Great Escape,1746
563,Four Weddings and a Funeral,1749
564,The Bridge on the River Kwai,1753
565,一个都不能少,1755
566,Sleuth,1762
567,Jumanji,1767
568,精武門,1768
569,Mrs. Doubtfire,1773
570,Harry Potter and the Sorcerer's Stone,1787
571,The Talented Mr. Ripley,1788
572,城市獵人,1797
573,Sjecas li se Dolly Bell,1799
574,A Bronx Tale,1801
575,All Quiet on the Western Front,1819
576,Schindler's List,1822
577,The Man Who Shot Liberty Valance,1825
578,Who's Afraid of Virginia Woolf?,1826
579,Bambi,1829
580,Charade,1844
581,Our Hospitality,1852
582,West Side Story,1858
583,The Mummy,1862
584,Stuart Little,1867
585,X-Men,1869
586,American Pie,1871
587,Santa sangre,1873
588,A Few Good Men,1874
589,Videodrome,1880
590,Men in Black II,1882
591,Rocky II,1883
592,多桑,1886
593,Intolerance,1887
594,Godzilla,1888
595,Liar Liar,1901
596,True Romance,1905
597,Home Alone 3,1912
598,喋血街头,1914
599,金玉满堂,1928
600,Starship Troopers,1932
601,七人の侍,1937
602,緃横四海,1941
603,Rebel Without a Cause,1944
604,South Park: Bigger Longer & Uncut,1950
605,Ferris Bueller's Day Off,1953
606,The Third Man,1959
607,Bullets Over Broadway,1960
608,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1962
609,Romeo and Juliet/罗米欧与朱丽叶,1966
610,风云—雄霸天下,1968
611,方世玉续集,1977
612,Mousehunt,1978
613,Le huitième jour,1981
614,Animals Are Beautiful People,1986
615,The X Files,1987
616,Twin Peaks（II）,1990
617,Per qualche dollaro in più,2023
618,Баллада о солдате,2030
619,Koroshiya 1,2037
620,Batman Forever,2042
621,Léon,2045
622,The Great Dictator,2047
623,Contact,2048
624,Сталкер,2052
625,It Happened One Night,2063
626,Heat,2064
627,Dangerous Liaisons,2073
628,Apur Sansar,2075
629,The Breakfast Club,2078
630,Mon oncle d'Amérique,2083
631,Rocky,2084
632,素晴らしき日曜日,2091
633,Sunrise: A Song of Two Humans,2092
634,"Thiasos, O",2094
635,π,2104
636,砂の女,2117
637,あの夏、いちばん静かな海,2119
638,Frenzy,2120
639,The Blair Witch Project,2126
640,The Cat Concerto,2127
641,Legends of the Fall,2141
642,Total Recall,2142
643,North by Northwest,2144
644,Ladri di biciclette,2145
645,Sånger från andra våningen,2148
646,While You Were Sleeping,2158
647,La belle et la bête,2164
648,Fantastic Voyage,2166
649,殭屍先生,2173
650,Freaks,2178
651,My Best Friend's Wedding,2188
652,Vor,2202
653,Kind Hearts and Coronets,2204
654,Creepshow,2210
655,红番区,2211
656,運転手之恋,2214
657,见鬼,2221
658,Noises Off...,2230
659,Sleepy Hollow,2247
660,Umberto D.,2253
661,Europa,2259
662,Witness for the Prosecution,2270
663,Viskningar och rop,2271
664,Pink Floyd The Wall,2277
665,忠烈图,2279
666,Ta'm e guilass,2287
667,Girl Interrupted,2293
668,乱,2298
669,逃学威龙2,2301
670,警察故事 III：超級警察,2302
671,Wallace & Gromit in A Close Shave,2309
672,Primal Fear,2311
673,过年,2312
674,Elizabeth,2315
675,Notre Dame de Paris,2324
676,Don Juan DeMarco,2326
677,没完没了,2331
678,本命年,2336
679,跛豪,2341
680,Cabaret,2345
681,Ma nuit chez Maud,2346
682,A Little Romance,2347
683,Suspiria,2366
684,滾滾紅塵,2367
685,Week End,2368
686,Before Sunrise,2369
687,Watership Down,2370
688,10 Things I Hate About You,2375
689,The Omen,2376
690,爱情万岁,2381
691,The Game,2387
692,The Thin Blue Line,2388
693,Hamlet,2390
694,有话好好说,2406
695,Dumb & Dumber,2415
696,Pitch Black,2417
697,色情男女,2419
698,Sedmikrásky,2436
699,喋血双雄,2447
700,Star Wars: Episode V - The Empire Strikes Back,2452
701,Mystery Train,2455
702,投奔怒海,2470
703,The Little Orphan,2476
704,Kaspar Hauser - Jeder für sich und Gott gegen alle,2484
705,Flight of the Navigator,2494
706,两个只能活一个,2500
707,倩女幽魂Ⅱ人间道,2502
708,Burden of Dreams,2503
709,Spirit: Stallion of the Cimarron,2504
710,Nosferatu: Phantom der Nacht,2506
711,Limelight,2507
712,Back to the Future Part III,2511
713,Przesluchanie,2515
714,Flowers and Trees,2516
715,Red Beard,2517
716,醉拳,2526
717,Planet of the Apes,2529
718,地狱无门,2531
719,楢山節考,2534
720,Raiders of the Lost Ark,2539
721,Shallow Grave,2540
722,The Pianist,2547
723,抢钱夫妻,2550
724,Casablanca,2552
725,Vivre sa vie: Film en douze tableaux,2553
726,巴尔扎克与小裁缝,2558
727,Lolita,2562
728,"Nosferatu, eine Symphonie des Grauens",2567
729,Nattvardsgästerna,2568
730,The Thing,2569
731,台風クラブ,2572
732,Awakenings,2574
733,The Cider House Rules,2581
734,Election,2587
735,彼岸花,2589
736,Rushmore,2590
737,新少林五祖,2591
738,Gaslight,2593
739,Bad Boy Bubby,2594
740,大富之家,2618
741,The Conversation,2623
742,La grande vadrouille,2624
743,Irréversible,2637
744,The Wild Bunch,2650
745,La Femme de L'aviateur,2655
746,双龙会,2656
747,Annie Hall,2662
748,Lolita,2664
749,Harry Potter and the Chamber of Secrets,2668
750,Cyrano de Bergerac,2671
751,Shine,2675
752,In the Name of the Father,2676
753,Bruce Almighty,2682
754,新难兄难弟,2690
755,紅玫瑰白玫瑰,2691
756,耳をすませば,2698
757,中南海保镖,2703
758,The Parent Trap,2716
759,Fitzcarraldo,2717
760,Sleeping Beauty,2719
761,Bowling for Columbine,2720
762,Mr. Smith Goes to Washington,2727
763,Everyone Says I Love You,2728
764,Teorema,2730
765,The Nightmare Before Christmas,2731
766,Arlington Road,2735
767,超时空要爱,2738
768,Star Wars: Episode VI - Return of the Jedi,2739
769,Le fantôme de la liberté,2750
770,Identity,2751
771,The Blues Brothers,2755
772,Possession,2758
773,鹿鼎记,2766
774,Letter from an Unknown Woman,2770
775,The Fugitive,2771
776,Total Eclipse,2774
777,五億探長雷洛傳（雷老虎）,2780
778,Autumn Sonata,2790
779,夏日的么么茶,2804
780,Vertigo,2806
781,笑傲江湖,2809
782,Buffalo '66,2811
783,Life Is Sweet,2812
784,Who Framed Roger Rabbit,2813
785,Rumble Fish,2827
786,もののけ姫,2829
787,Chaplin,2833
788,Le locataire,2852
789,麻将,2863
790,Badlands,2867
791,Olympia 1. Teil - Fest der Völker,2868
792,倩女幽魂,2879
793,The Gods Must Be Crazy,2890
794,Moonwalker,2901
795,天龍八部之天山童姥,2909
796,九品芝麻官白面包青天,2910
797,Network,2914
798,Enemy of the State,2921
799,Professione: reporter,2922
800,Who Is Cletis Tout?,2923
801,The Cameraman,2925
802,The Mask,2934
803,英雄本色,2936
804,Vokzal dlya dvoikh,2941
805,悪い奴ほどよく眠る,2944
806,Lucía y el sexo,2947
807,Butch Cassidy and the Sundance Kid,2950
808,Un homme et une femme,2953
809,Evolution,2956
810,Midnight Cowboy,2963
811,The Sixth Sense,2965
812,The Lost Weekend,2966
813,Firelight,2967
814,Easy Rider,2969
815,Bringing Up Baby,2973
816,野兽刑警,2987
817,Minority Report,2990
818,天若有情,2998
819,Mars Attacks!,2999
820,Les yeux sans visage,3008
821,Tootsie,3009
822,少林足球,3013
823,Snow White and the Seven Dwarfs,3016
824,方世玉,3020
825,董夫人,3021
826,The Horse Whisperer,3023
827,Star Wars: Episode II - Attack of the Clones,3027
828,Hoop Dreams,3031
829,Badkonake sefid,3040
830,Short Cuts,3043
831,浮草,3046
832,英雄本色2,3055
833,武状元苏乞儿,3056
834,The Maltese Falcon,3061
835,芙蓉镇,3066
836,The Virgin Suicides,3072
837,A计划,3077
838,"Thorn Birds, The (mini)",3079
839,Kes,3084
840,十字街头,3086
841,Ninotchka,3089
842,Alien³,3090
843,My Fair Lady,3101
844,Batman,3104
845,To Kill a Mockingbird,3114
846,Beauty and the Beast,3115
847,Night of the Living Dead,3116
848,Lawn Dogs,3127
849,The Last Picture Show,3128
850,Notting Hill,3131
851,倩女幽魂Ⅲ道道道,3133
852,Barton Fink,3136
853,お早よう,3146
854,Pirates of the Caribbean: The Curse of the Black Pearl,3148
855,Tirez sur le pianiste,3155
856,Metropolis,3159
857,堕落天使,3162
858,Sleepless in Seattle,3171
859,Stagecoach,3173
860,Baisers volés,3195
861,Koyaanisqatsi,3197
862,One Hundred and One Dalmatians,3199
863,"One, Two, Three",3218
864,Андрей Рублёв,3224
865,Nuit et brouillard,3237
866,Patton,3259
867,"Nibelungen: Siegfried, Die",3262
868,Clerks.,3266
869,Im Juli.,3268
870,Sonatine,3282
871,Spartacus,3290
872,Deconstructing Harry,3299
873,A Nightmare On Elm Street,3301
874,Close Encounters of the Third Kind,3309
875,The 39 Steps,3313
876,黃飛鴻,3329
877,Il Postino,3339
878,Rio Bravo,3354
879,Strangers on a Train,3355
880,The Straight Story,3356
881,High Noon,3364
882,Little Women,3365
883,花月佳期,3368
884,Ningen no joken I,3380
885,A Hard Day's Night,3383
886,Stardust Memories,3389
887,The Mummy Returns,3391
888,Naked Lunch,3398
889,Le dernier métro,3407
890,Scent of a Woman,3412
891,Birdy,3417
892,赌圣,3418
893,Cast Away,3424
894,Die Ehe der Maria Braun,3426
895,Amarcord,3433
896,Dinosaur,3441
897,Blue Velvet,3443
898,Sunset Blvd.,3463
899,Twelve Monkeys,3468
900,まあだだよ,3473
901,Dogville,3476
902,新仙鹤神针,3477
903,Pelle erövraren,3488
904,The Gold Rush,3496
905,24,3515
906,浮雲,3525
907,海滩的一天,3526
908,刀马旦,3528
909,黄河绝恋,3529
910,The Asphalt Jungle,3543
911,暗战,3546
912,The Getaway,3550
913,The Devil's Advocate,3553
914,The Cassandra Crossing,3557
915,无言的山丘,3570
916,Un Chien Andalou,3577
917,Lilja 4-ever,3580
918,Wild at Heart,3581
919,Predator,3583
920,The People vs Larry Flynt,3591
921,Z,3609
922,Blow Out,3610
923,Jinruigaku nyumon,3618
924,人生,3619
925,Vanilla Sky,3621
926,倚天屠龍記之魔教教主,3624
927,キッズ・リターン,3625
928,"Promesse, La",3629
929,Naked,3631
930,Rear Window,3633
931,Back to the Future Part II,3639
932,冬冬的假期,3640
933,Cape Fear,3641
934,Army of Darkness,3642
935,夢,3643
936,A計劃續集,3645
937,神々の深き欲望,3647
938,The Godfather: Part II,3651
939,九二黑玫瑰对黑玫瑰,3653
940,Alien: Resurrection,3661
941,The Shop Around the Corner,3670
942,Sense and Sensibility,3680
943,砂の器,3681
944,The Red Shoes,3682
945,eXistenZ,3689
946,His Girl Friday,3695
947,Traffic,3697
948,Geri's Game,3703
949,The Naked City,3704
950,Зеркало,3707
951,给爸爸的信,3708
952,六月の蛇,3709
953,Il deserto rosso,3714
954,Falling Down,3723
955,胭脂扣,3724
956,8 femmes,3726
957,Interview with the Vampire: The Vampire Chronicles,3739
958,All That Jazz,3742
959,放浪記,3745
960,我出生了，但……,3755
961,집으로...,3756
962,The Bodyguard,3757
963,菊豆,3760
964,我左眼见到鬼,3766
965,The Last Samurai,3770
966,西游记第一百零一回之月光宝盒,3777
967,L'atalante,3795
968,風櫃來的人,3797
969,84 Charing Cross Road,3814
970,"Experiment, Das",3823
971,Aladdin,3824
972,Sommaren med Monika,3839
973,Picnic at Hanging Rock,3841
974,The Abyss,3853
975,오아시스,3860
976,Le moine et le poisson,3864
977,成龙-我的特技,3866
978,Reservoir Dogs,3873
979,東京日和,3875
980,Scarface,3876
981,半边人,3881
982,半生缘,3883
983,The Circus,3885
984,宝莲灯,3892
985,上海滩,3894
986,龙虎风云,3903
987,苏州河,3905
988,Peeping Tom,3909
989,整蛊专家,3916
990,错位,3918
991,ROBOT CARNIVAL  ロボットカーニバル,3924
992,破坏之王,3944
993,回魂夜,3948
994,Meet Joe Black,3951
995,"Vangelo secondo Matteo, Il",3953
996,細雪,3955
997,非常突然,3956
998,L'appartement,3964
999,Casino,3966
1000,Dolls,3970
1001,Empire of the Sun,3971
1002,Die Hard: With a Vengeance,3984
1003,Top Secret!,3990
1004,Tango,3996
1005,The Great Train Robbery,4000
1006,"Vie de bohème, La",4002
1007,Kiss of the Spider Woman,4004
1008,Du rififi chez les hommes,4007
1009,Star Trek Ⅷ:First Contact,4009
1010,暗恋桃花源,4010
1011,Profondo rosso,4014
1012,Addams Family Values,4015
1013,Le vieux fusil,4017
1014,The Joy Luck Club,4024
1015,Le salaire de la peur,4027
1016,Baby's Day Out,4035
1017,Dressed to Kill,4042
1018,Wilde,4070
1019,デルス・ウザーラ,4072
1020,The Big Lebowski,4076
1021,Full Metal Jacket,4079
1022,Les quatre cents coups,4080
1023,家有喜事,4084
1024,Entrapment,4086
1025,Lady and the Tramp,4091
1026,雞同鴨講,4093
1027,古今大战秦俑情,4095
1028,Star Trek Ⅰ: The Motion Picture,4100
1029,秋菊打官司,4109
1030,Gattaca,4115
1031,The Curse of the Jade Scorpion,4118
1032,Henry & June,4135
1033,Man on the Moon,4152
1034,봄날은간다,4153
1035,Punch-Drunk Love,4165
1036,Shakespeare in Love,4170
1037,六指琴魔,4186
1038,Evil Under the Sun,4187
1039,Gone with the Wind,4188
1040,Eyes Wide Shut,4190
1041,The Thirteenth Floor,4192
1042,Every Child,4202
1043,살인의 추억,4203
1044,Final Destination,4204
1045,我是谁,4206
1046,L'ours,4220
1047,Seven Chances,4228
1048,Ultimo tango a Parigi,4229
1049,大只佬,4234
1050,Rambo: First Blood Part II,4236
1051,The Green Mile,4246
1052,Les Enfants du Paradis | Children of Paradise,4247
1053,Braindead,4249
