,movieId,title,genres,plot
16,25,Leaving Las Vegas (1995),Drama|Romance,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
17,26,Othello (1995),Drama,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago."
18,28,Persuasion (1995),Romance,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduced to the now successful and wealthy Captain Frederick Wentworth. With their roles reversed and Captain Wentworth the eligible and wealthy bachelor, Anne navigates the scheming society that still tries to keep them apart."
19,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
20,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
21,31,Dangerous Minds (1995),Drama,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
22,32,Twelve Monkeys (1995),Drama|Sci-Fi,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
23,34,Babe (1995),Children's|Comedy|Drama,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett."
24,36,Dead Man Walking (1995),Drama,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
25,39,Clueless (1995),Comedy|Romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
26,41,Richard III (1995),Drama|War,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
27,42,Dead Presidents (1995),Action|Crime|Drama,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
28,43,Restoration (1995),Drama,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman."
29,44,Mortal Kombat (1995),Action|Adventure,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
30,45,To Die For (1995),Comedy|Drama,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.
31,46,How to Make an American Quilt (1995),Drama|Romance,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
32,47,Seven (Se7en) (1995),Crime|Thriller,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
33,48,Pocahontas (1995),Animation|Children's|Musical|Romance,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
34,50,"Usual Suspects, The (1995)",Crime|Thriller,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
35,52,Mighty Aphrodite (1995),Comedy,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute."
36,57,Home for the Holidays (1995),Drama,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family."
37,58,"Postino, Il (The Postman) (1994)",Drama|Romance,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
38,60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick."
39,62,Mr. Holland's Opus (1995),Drama,A frustrated composer finds fulfillment as a high school music teacher.
40,69,Friday (1995),Comedy,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday."
41,70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
42,72,Kicking and Screaming (1995),Comedy|Drama,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation."
43,73,"Mis�rables, Les (1995)",Drama|Musical,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.
44,76,Screamers (1995),Sci-Fi|Thriller,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience."
45,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.
46,81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Five different criminals face imminent death after botching a job quite badly.
47,82,Antonia's Line (Antonia) (1995),Drama,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
48,85,Angels and Insects (1995),Drama|Romance,In the 1800s a naturalist marries into a family of British country gentry.
49,86,White Squall (1996),Adventure|Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
50,88,Black Sheep (1996),Comedy,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
51,94,Beautiful Girls (1996),Drama,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
52,95,Broken Arrow (1996),Action|Thriller,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
53,97,"Hate (Haine, La) (1995)",Drama,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
54,101,Bottle Rocket (1996),Comedy,Three friends plan to pull off a simple robbery and go on the run.
55,104,Happy Gilmore (1996),Comedy,A rejected hockey player puts his skills to the golf course to save his grandmother's house.
56,105,"Bridges of Madison County, The (1995)",Drama|Romance,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
57,107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,The Muppets' twist on the classic tale.
58,110,Braveheart (1995),Action|Drama|War,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
59,111,Taxi Driver (1976),Drama|Thriller,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
60,112,Rumble in the Bronx (1995),Action|Adventure|Crime,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
61,116,Anne Frank Remembered (1995),Documentary,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust."
62,117,"Young Poisoner's Handbook, The (1995)",Crime,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes interested in science, especially chemistry, and begins to read avidly. Something of a social misfit, he is fascinated by morbid subjects such as poisons and murder. His family environment is intolerable to him and, in particular, his stepmother torments him. He decides to poison those who annoy him, first with antimony and later with thallium. He smugly thinks himself cleverer than all those around him, but nevertheless he is caught and sentenced to 'rehabilitation' at a psychiatric institution. Once there, he undertakes to deceive the new eminent psychiatrist sent there to 'cure' him, thereby securing his release."
63,123,Chungking Express (1994),Drama|Mystery|Romance,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
64,125,Flirting With Disaster (1996),Comedy,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents."
65,140,Up Close and Personal (1996),Drama|Romance,"An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love."
66,141,"Birdcage, The (1996)",Comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
67,144,"Brothers McMullen, The (1995)",Comedy,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity."
68,145,Bad Boys (1995),Action,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
69,147,"Basketball Diaries, The (1995)",Drama,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.
70,150,Apollo 13 (1995),Drama,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
71,151,Rob Roy (1995),Drama|Romance|War,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite."
72,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin."
73,154,Belle de jour (1967),Drama,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
74,155,Beyond Rangoon (1995),Drama|War,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she is left on her own for a few days, during which time she falls in with students fighting for democracy. She and their leader, U Aung Ko, travel through Burma, whilst witnessing many bloody acts of repression by the dictatorship, in an attempt to escape to Thailand. Based on a true story."
75,156,Blue in the Face (1995),Comedy,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn."
76,157,Canadian Bacon (1994),Comedy|War,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada."
77,158,Casper (1995),Adventure|Children's,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
78,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong."
79,161,Crimson Tide (1995),Drama|Thriller|War,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so."
80,162,Crumb (1994),Documentary,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.
81,163,Desperado (1995),Action|Romance|Thriller,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.
82,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,"An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal."
83,165,Die Hard: With a Vengeance (1995),Action|Thriller,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building."
84,168,First Knight (1995),Action|Adventure|Drama|Romance,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table."
85,170,Hackers (1995),Action|Crime|Thriller,Hackers are blamed for making a virus that will capsize five oil tankers.
86,171,Jeffrey (1995),Comedy,A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.
87,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza."
88,175,Kids (1995),Drama,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins."
89,176,Living in Oblivion (1995),Comedy,This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.
90,180,Mallrats (1995),Comedy,"Both dumped by their girlfriends, two best friends seek refuge in the local mall."
91,185,"Net, The (1995)",Sci-Fi|Thriller,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger."
92,187,Party Girl (1995),Comedy,"Party girl Mary gets bailed out of jail by her librarian godmother. She starts working at the library, slowly fills her empty brain."
93,188,"Prophecy, The (1995)",Horror,"At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school teacher."
94,190,Safe (1995),Thriller,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.
95,194,Smoke (1995),Drama,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers."
96,196,Species (1995),Horror|Sci-Fi,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.
97,198,Strange Days (1995),Action|Crime|Sci-Fi,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.
98,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,A young woman separated from her lover by war faces a life-altering decision.
99,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town."
100,204,Under Siege 2: Dark Territory (1995),Action,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite."
101,205,Unstrung Heroes (1995),Comedy|Drama,"When a youngster needs a break from the pressures of his parents' household, he moves in with his offbeat uncles and learns some invaluable life lessons."
102,206,Unzipped (1995),Documentary,One of the most successful designers in high fashion plans his fall 1994 collection. Follow the behind-the-scenes look at the creative side of fashion.
103,207,"Walk in the Clouds, A (1995)",Drama|Romance,A married soldier returning from World War II poses as a pregnant woman's husband to save her from her father's anger and honor.
104,208,Waterworld (1995),Action|Adventure,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land."
105,213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,"In the Soviet Union in 1936, shadow of Stalin's repressions lie on a famous revolution hero. The accusations of being him a foreign spy are nonsense, and all known that, but a slow process of his life's downfall is already running."
106,214,Before the Rain (Pred dozhdot) (1994),Drama,Three interconnected stories of love under the threat of civil war in Macedonia and London.
107,215,Before Sunrise (1995),Drama|Romance,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
108,216,Billy Madison (1995),Comedy,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again."
109,218,Boys on the Side (1995),Comedy|Drama,"Robin shares a ride in her car with Jane from New York to Los Angeles. They stop at Jane's friend Holly's place in Pittsburgh and take her with them west, making a long stop in Tucson. The three very different women become close friends."
110,222,Circle of Friends (1995),Drama|Romance,"3 women, who've been friends since childhood, meet at university in Dublin in 1957. Student and boyfriend life begins."
111,223,Clerks (1994),Comedy,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
112,224,Don Juan DeMarco (1995),Comedy|Drama|Romance,"A psychiatrist must cure a young patient that presents himself as Don Juan, the greatest lover in the world."
113,225,Disclosure (1994),Drama|Thriller,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life."
114,229,Death and the Maiden (1994),Drama|Thriller,A political activist is convinced that her guest is a man who once tortured her for the government.
115,230,Dolores Claiborne (1994),Drama|Thriller,A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.
116,231,Dumb & Dumber (1994),Comedy,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it."
117,232,Eat Drink Man Woman (1994),Comedy|Drama,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.
118,233,Exotica (1994),Drama,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away."
119,235,Ed Wood (1994),Comedy|Drama,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent."
120,236,French Kiss (1995),Comedy|Romance,"A woman flies to France to confront her straying fiancee, but gets into trouble when the charming crook seated next to her uses her for smuggling."
121,237,Forget Paris (1995),Comedy|Romance,"Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs."
122,239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy."
123,242,Farinelli: il castrato (1994),Drama|Musical,"The story of castrato opera singer Carlo Broschi, who enthralled 18th century European audiences under his stage name Farinelli."
124,246,Hoop Dreams (1994),Documentary,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
125,247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,"Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge."
126,249,Immortal Beloved (1994),Drama|Romance,"The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to find out who this beloved was--not easy, as Beethoven has had many women in his life."
127,252,I.Q. (1994),Comedy|Romance,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends."
128,253,Interview with the Vampire (1994),Drama|Horror,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger."
129,257,Just Cause (1995),Mystery|Thriller,A Harvard professor is lured back into the courtroom after twenty-five years to take the case of a young black man condemned to death for the horrific murder of a child.
130,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
131,261,Little Women (1994),Drama,The March sisters live and grow in post-Civil War America.
132,262,"Little Princess, A (1995)",Children's|Drama,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.
133,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,"When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking."
134,266,Legends of the Fall (1994),Drama|Romance|War|Western,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
135,267,Major Payne (1994),Comedy,A recently discharged Major finds himself commanding a group of mismatched Cadets.
136,272,"Madness of King George, The (1994)",Drama,"When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation."
137,273,Mary Shelley's Frankenstein (1994),Drama|Horror,"When the brilliant but unorthodox scientist Dr. Victor Frankenstein rejects the artificial man that he has created, the Creature escapes and later swears revenge."
138,277,Miracle on 34th Street (1994),Drama,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.
139,280,Murder in the First (1995),Drama|Thriller,An eager and idealistic young attorney defends an Alcatraz prisoner accused of murdering a fellow inmate. The extenuating circumstances: his client had just spent over three years in solitary confinement.
140,281,Nobody's Fool (1994),Drama,A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.
141,282,Nell (1994),Drama,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets."
142,288,Natural Born Killers (1994),Action|Thriller,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
143,289,Only You (1994),Comedy|Romance,"As a teen, Faith was told that her destiny is a man named Damon Bradley. Years later - Faith is about to marry another man - a Damon Bradley calls to wish them all the best. Faith blows off the wedding and follows Damon to Italy."
144,290,Once Were Warriors (1994),Crime|Drama,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
145,292,Outbreak (1995),Action|Drama|Thriller,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.
146,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
147,296,Pulp Fiction (1994),Crime|Drama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
148,299,Priest (1994),Drama,"A homosexual Catholic priest finds out during confessional that a young girl is being sexually abused by her father, and has to decide how to deal with both that secret and his own."
149,300,Quiz Show (1994),Drama,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation."
150,302,Queen Margot (La Reine Margot) (1994),Drama|Romance,"Young Queen Margot finds herself trapped in an arranged marriage amidst a religious war between Catholics and Protestants. She hopes to escape with a new lover, but finds herself imprisoned by her powerful and ruthless family."
151,303,"Quick and the Dead, The (1995)",Action|Adventure|Western,"A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death."
152,306,Three Colors: Red (1994),Drama,A model discovers a retired judge is keen on invading people's privacy.
153,307,Three Colors: Blue (1993),Drama,A woman struggles to find a way to live her life after the death of her husband and child.
154,308,Three Colors: White (1994),Drama,"After his wife divorces him, a Polish immigrant plots to get even with her."
155,309,"Red Firecracker, Green Firecracker (1994)",Drama,"A woman inherits her father's fireworks factory, as he had no son. The business does well and everything works in an orderly fashion until one day, an itinerant painter is hired to decorate the doors and vases at the factory. The woman, forbidden to marry and thereby involve outsiders in the factory ownership, finds herself drawn to the headstrong painter. When they fall in love, the situation throws her entire life into disarray."
156,314,"Secret of Roan Inish, The (1994)",Drama,Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.
157,315,"Specialist, The (1994)",Action,A woman entices a bomb expert she's involved with into destroying the mafia that killed her family.
158,316,Stargate (1994),Action|Adventure|Sci-Fi,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
159,317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,"When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place."
160,318,"Shawshank Redemption, The (1994)",Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
161,319,Shallow Grave (1994),Thriller,Three friends discover their new flatmate dead but loaded with cash.
162,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,"This Oscar nominated film is the story of two men who are opposites, one gay, the other straight, one a fierce communist, the other a fierce individualist, one suspicious, the other accepting, and how they come to love each other."
163,322,Swimming with Sharks (1995),Comedy|Drama,"A young, naive Hollywood studio assistant finally turns the tables on his incredibly abusive producer boss."
164,326,To Live (Huozhe) (1994),Drama,"After Fugui and Jiazhen lose their personal fortunes, they raise a family and survive difficult cultural changes during 1940s to 1970s China."
165,327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,"A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet."
166,328,Tales From the Crypt Presents: Demon Knight (1995),Horror,A man on the run is hunted by a demon known as the Collector.
167,329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,"With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix."
168,333,Tommy Boy (1995),Comedy,"After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business."
169,334,Vanya on 42nd Street (1994),Drama,"New York actors rehearse Chekhov's ""Uncle Vanya"" in a dilapidated theatre."
170,337,What's Eating Gilbert Grape (1993),Drama,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
171,338,Virtuosity (1995),Sci-Fi|Thriller,"When a virtual reality simulation created using the personalities of multiple serial killers manages to escape into the real world, an ex-cop is tasked with stopping its reign of terror."
172,339,While You Were Sleeping (1995),Comedy|Romance,A hopelessly romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.
173,341,Double Happiness (1994),Drama,Story of a young Chinese-Canadian woman caught between traditional and modern societies.
174,342,Muriel's Wedding (1994),Comedy|Romance,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love."
175,344,Ace Ventura: Pet Detective (1994),Comedy,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.
176,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.
177,346,Backbeat (1993),Drama|Musical,"A dramatization of the Hamburg, Germany phase of The Beatles' early history."
178,348,Bullets Over Broadway (1994),Comedy,"In New York in 1928, a struggling playwright is forced to cast a mobster's talentless girlfriend in his latest drama in order to get it produced."
179,349,Clear and Present Danger (1994),Action|Adventure|Thriller,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
180,350,"Client, The (1994)",Drama|Mystery|Thriller,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.
181,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,"In 1959, a widower hires a kindly housekeeper/nanny to care for his seven-year-old daughter."
182,352,Crooklyn (1994),Comedy,"Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973."
183,353,"Crow, The (1994)",Action|Romance|Thriller,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.
